LAMMPS data file via write_data, version 12 Dec 2018, timestep = 60000

27648 atoms
2 atom types

-3.2759208000000001e+01 3.2759208000000001e+01 xlo xhi
-3.2759208000000001e+01 3.2759208000000001e+01 ylo yhi
-3.2759208000000001e+01 3.2759208000000001e+01 zlo zhi

Masses

1 28.0855
2 28.0855

Atoms # atomic

1 1 -3.2759208000000001e+01 -3.2759208000000001e+01 -3.2759208000000001e+01 0 0 0
5 1 -3.1394241000000001e+01 -3.1394241000000001e+01 -3.1394241000000001e+01 0 0 0
13829 2 -3.1331825246329068e+01 -3.1321753230552432e+01 -3.1379778996846159e+01 0 0 0
13825 2 -3.2750770917796238e+01 -3.2731938851489488e+01 -3.2727440662717811e+01 0 0 0
9 1 -2.7299340000000001e+01 -3.2759208000000001e+01 -3.2759208000000001e+01 0 0 0
13 1 -2.5934373000000001e+01 -3.1394241000000001e+01 -3.1394241000000001e+01 0 0 0
13837 2 -2.5960861575599147e+01 -3.1396480131483152e+01 -3.1343729092160707e+01 0 0 0
17 1 -2.1839472000000001e+01 -3.2759208000000001e+01 -3.2759208000000001e+01 0 0 0
21 1 -2.0474505000000001e+01 -3.1394241000000001e+01 -3.1394241000000001e+01 0 0 0
13845 2 -2.0476563808050599e+01 -3.1391033827857342e+01 -3.1417152383550267e+01 0 0 0
13841 2 -2.1795776720068023e+01 -3.2707347429917526e+01 -3.2715793239805542e+01 0 0 0
25 1 -1.6379604000000000e+01 -3.2759208000000001e+01 -3.2759208000000001e+01 0 0 0
29 1 -1.5014637000000000e+01 -3.1394241000000001e+01 -3.1394241000000001e+01 0 0 0
13853 2 -1.5015311031386359e+01 -3.1424912165481754e+01 -3.1351301614276899e+01 0 0 0
4 1 -3.0029274000000001e+01 -3.0029274000000001e+01 -3.2759208000000001e+01 0 0 0
8 1 -2.8664307000000001e+01 -2.8664307000000001e+01 -3.1394241000000001e+01 0 0 0
13832 2 -2.8722201992792282e+01 -2.8600591877153335e+01 -3.1537458865338650e+01 0 0 0
13828 2 -3.0013859310560168e+01 -2.9965636850121825e+01 -3.2699415615469668e+01 0 0 0
12 1 -2.4569406000000001e+01 -3.0029274000000001e+01 -3.2759208000000001e+01 0 0 0
16 1 -2.3204439000000001e+01 -2.8664307000000001e+01 -3.1394241000000001e+01 0 0 0
13840 2 -2.3223351205806509e+01 -2.8704941141228062e+01 -3.1347829850090260e+01 0 0 0
20 1 -1.9109538000000001e+01 -3.0029274000000001e+01 -3.2759208000000001e+01 0 0 0
24 1 -1.7744571000000001e+01 -2.8664307000000001e+01 -3.1394241000000001e+01 0 0 0
13848 2 -1.7663747968650640e+01 -2.8650906471940459e+01 -3.1401084464316874e+01 0 0 0
13844 2 -1.9083973271164119e+01 -2.9996960592848964e+01 -3.2759005733573780e+01 0 0 0
28 1 -1.3649670000000000e+01 -3.0029274000000001e+01 -3.2759208000000001e+01 0 0 0
13852 2 -1.3666431619343555e+01 -3.0001820267173930e+01 -3.2731622135024224e+01 0 0 0
32 1 -1.2284703000000000e+01 -2.8664307000000001e+01 -3.1394241000000001e+01 0 0 0
13856 2 -1.2295992762007561e+01 -2.8692997958728551e+01 -3.1388691014255656e+01 0 0 0
33 1 -3.2759208000000001e+01 -2.7299340000000001e+01 -3.2759208000000001e+01 0 0 0
13857 2 -3.2757996826487961e+01 -2.7295846449297411e+01 -3.2755940278917379e+01 0 0 0
41 1 -2.7299340000000001e+01 -2.7299340000000001e+01 -3.2759208000000001e+01 0 0 0
49 1 -2.1839472000000001e+01 -2.7299340000000001e+01 -3.2759208000000001e+01 0 0 0
57 1 -1.6379604000000000e+01 -2.7299340000000001e+01 -3.2759208000000001e+01 0 0 0
13881 2 -1.6370185851919185e+01 -2.7302097472070027e+01 -3.2736393175078632e+01 0 0 0
37 1 -3.1394241000000001e+01 -2.5934373000000001e+01 -3.1394241000000001e+01 0 0 0
13861 2 -3.1250759802401372e+01 -2.5945750776620120e+01 -3.1369945603528418e+01 0 0 0
36 1 -3.0029274000000001e+01 -2.4569406000000001e+01 -3.2759208000000001e+01 0 0 0
13860 2 -2.9998252871682134e+01 -2.4563786991617341e+01 -3.2756375244179566e+01 0 0 0
44 1 -2.4569406000000001e+01 -2.4569406000000001e+01 -3.2759208000000001e+01 0 0 0
45 1 -2.5934373000000001e+01 -2.5934373000000001e+01 -3.1394241000000001e+01 0 0 0
13869 2 -2.5919854773834029e+01 -2.5932037586113069e+01 -3.1381970992667473e+01 0 0 0
13868 2 -2.4602697975183432e+01 -2.4591022355777305e+01 -3.2755011801224761e+01 0 0 0
53 1 -2.0474505000000001e+01 -2.5934373000000001e+01 -3.1394241000000001e+01 0 0 0
13877 2 -2.0483719936422418e+01 -2.5902924504612077e+01 -3.1414347470227000e+01 0 0 0
52 1 -1.9109538000000001e+01 -2.4569406000000001e+01 -3.2759208000000001e+01 0 0 0
13876 2 -1.9139151712656094e+01 -2.4616004874908256e+01 -3.2755807162674415e+01 0 0 0
60 1 -1.3649670000000000e+01 -2.4569406000000001e+01 -3.2759208000000001e+01 0 0 0
61 1 -1.5014637000000000e+01 -2.5934373000000001e+01 -3.1394241000000001e+01 0 0 0
13885 2 -1.4993538257030888e+01 -2.5959239073606419e+01 -3.1319308954357879e+01 0 0 0
40 1 -2.8664307000000001e+01 -2.3204439000000001e+01 -3.1394241000000001e+01 0 0 0
13864 2 -2.8683167508391566e+01 -2.3201526535295198e+01 -3.1371658062606645e+01 0 0 0
48 1 -2.3204439000000001e+01 -2.3204439000000001e+01 -3.1394241000000001e+01 0 0 0
13872 2 -2.3198871256580464e+01 -2.3195263781429652e+01 -3.1420173070609916e+01 0 0 0
56 1 -1.7744571000000001e+01 -2.3204439000000001e+01 -3.1394241000000001e+01 0 0 0
13880 2 -1.7727438874814968e+01 -2.3192157263041146e+01 -3.1366200246236133e+01 0 0 0
64 1 -1.2284703000000000e+01 -2.3204439000000001e+01 -3.1394241000000001e+01 0 0 0
13888 2 -1.2224354015866552e+01 -2.3167647373947293e+01 -3.1419217593893702e+01 0 0 0
65 1 -3.2759208000000001e+01 -2.1839472000000001e+01 -3.2759208000000001e+01 0 0 0
69 1 -3.1394241000000001e+01 -2.0474505000000001e+01 -3.1394241000000001e+01 0 0 0
13893 2 -3.1401987959449670e+01 -2.0500030543135690e+01 -3.1336569826187898e+01 0 0 0
73 1 -2.7299340000000001e+01 -2.1839472000000001e+01 -3.2759208000000001e+01 0 0 0
77 1 -2.5934373000000001e+01 -2.0474505000000001e+01 -3.1394241000000001e+01 0 0 0
13901 2 -2.6012634957924959e+01 -2.0472311456963112e+01 -3.1387366812056325e+01 0 0 0
81 1 -2.1839472000000001e+01 -2.1839472000000001e+01 -3.2759208000000001e+01 0 0 0
85 1 -2.0474505000000001e+01 -2.0474505000000001e+01 -3.1394241000000001e+01 0 0 0
13909 2 -2.0446606680995206e+01 -2.0433289271710599e+01 -3.1357570111571157e+01 0 0 0
